TEAM 1,TEAM 2,DIVISION,DATE,TIME,COURT,REF
C-12,C-17,COMPETITIVE,Sep 11 26,10:45 PM,10,13
C-04,C-03,COMPETITIVE,Sep 11 26,7:00 PM,11,8
C-03,C-08,COMPETITIVE,Sep 11 26,7:45 PM,11,4
C-04,C-08,COMPETITIVE,Sep 11 26,8:30 PM,11,3
C-14,C-10,COMPETITIVE,Sep 11 26,9:15 PM,11,18
C-10,C-18,COMPETITIVE,Sep 11 26,10:00 PM,11,14
C-14,C-18,COMPETITIVE,Sep 11 26,10:45 PM,11,10
S-04,S-03,SKILLED,Sep 11 26,7:00 PM,12,8
S-03,S-08,SKILLED,Sep 11 26,7:45 PM,12,4
S-04,S-08,SKILLED,Sep 11 26,8:30 PM,12,3
S-14,S-10,SKILLED,Sep 11 26,9:15 PM,12,18
S-10,S-18,SKILLED,Sep 11 26,10:00 PM,12,14
S-14,S-18,SKILLED,Sep 11 26,10:45 PM,12,10
I-14,I-14,INTERMEDIATE,Sep 11 26,7:00 PM,13,I5
I-11,I-11,INTERMEDIATE,Sep 11 26,7:45 PM,13,I14
I-14,I-14,INTERMEDIATE,Sep 11 26,8:30 PM,13,I11
I-06,I-06,INTERMEDIATE,Sep 11 26,9:15 PM,13,I1
I-07,I-07,INTERMEDIATE,Sep 11 26,10:00 PM,13,I6
I-06,I-06,INTERMEDIATE,Sep 11 26,10:45 PM,13,I7
I-13,I-13,INTERMEDIATE,Sep 11 26,7:00 PM,14,I8
I-10,I-10,INTERMEDIATE,Sep 11 26,7:45 PM,14,I13
I-13,I-13,INTERMEDIATE,Sep 11 26,8:30 PM,14,I10
I-02,I-02,INTERMEDIATE,Sep 11 26,9:15 PM,14,I9
I-15,I-15,INTERMEDIATE,Sep 11 26,10:00 PM,14,I2
I-02,I-02,INTERMEDIATE,Sep 11 26,10:45 PM,14,I15
R-06,R-02,RECREATIONAL,Sep 11 26,7:00 PM,15,7
R-02,R-07,RECREATIONAL,Sep 11 26,7:45 PM,15,6
R-06,R-07,RECREATIONAL,Sep 11 26,8:30 PM,15,2
I-03,I-03,INTERMEDIATE,Sep 11 26,9:15 PM,15,I4
I-12,I-12,INTERMEDIATE,Sep 11 26,10:00 PM,15,I3
I-03,I-03,INTERMEDIATE,Sep 11 26,10:45 PM,15,I12
R-04,R-03,RECREATIONAL,Sep 11 26,7:00 PM,16,8
R-03,R-08,RECREATIONAL,Sep 11 26,7:45 PM,16,4
R-04,R-08,RECREATIONAL,Sep 11 26,8:30 PM,16,3
R-05,R-01,RECREATIONAL,Sep 11 26,9:15 PM,16,9
R-01,R-09,RECREATIONAL,Sep 11 26,10:00 PM,16,5
R-05,R-09,RECREATIONAL,Sep 11 26,10:45 PM,16,1
E-02,E-06,ELITE,Sep 18 26,7:00 PM,4,3
E-06,E-03,ELITE,Sep 18 26,7:45 PM,4,2
E-02,E-03,ELITE,Sep 18 26,8:30 PM,4,6
E-05,E-04,ELITE,Sep 18 26,9:15 PM,4,1
E-04,E-01,ELITE,Sep 18 26,10:00 PM,4,5
E-05,E-01,ELITE,Sep 18 26,10:45 PM,4,4
P-04,P-02,POWER,Sep 18 26,9:15 PM,2,9
P-02,P-09,POWER,Sep 18 26,10:00 PM,2,4
P-04,P-09,POWER,Sep 18 26,10:45 PM,2,2
P-06,P-01,POWER,Sep 18 26,7:00 PM,3,8
P-01,P-08,POWER,Sep 18 26,7:45 PM,3,6
P-06,P-08,POWER,Sep 18 26,8:30 PM,3,1
P-05,P-03,POWER,Sep 18 26,9:15 PM,3,7
P-03,P-07,POWER,Sep 18 26,10:00 PM,3,5
P-05,P-07,POWER,Sep 18 26,10:45 PM,3,3
A-10,A-17,ADVANCED,Sep 18 26,7:00 PM,1,15
A-17,A-15,ADVANCED,Sep 18 26,7:45 PM,1,10
A-10,A-15,ADVANCED,Sep 18 26,8:30 PM,1,17
A-04,A-02,ADVANCED,Sep 18 26,9:15 PM,1,9
A-02,A-09,ADVANCED,Sep 18 26,10:00 PM,1,4
A-04,A-09,ADVANCED,Sep 18 26,10:45 PM,1,2
S-10,S-17,SKILLED,Sep 18 26,7:00 PM,5,15
S-17,S-15,SKILLED,Sep 18 26,7:45 PM,5,10
S-10,S-15,SKILLED,Sep 18 26,8:30 PM,5,17
S-04,S-02,SKILLED,Sep 18 26,9:15 PM,5,9
S-02,S-09,SKILLED,Sep 18 26,10:00 PM,5,4
S-04,S-09,SKILLED,Sep 18 26,10:45 PM,5,2
S-16,S-12,SKILLED,Sep 18 26,7:00 PM,6,14
S-12,S-14,SKILLED,Sep 18 26,7:45 PM,6,16
S-16,S-14,SKILLED,Sep 18 26,8:30 PM,6,12
S-07,S-03,SKILLED,Sep 18 26,9:15 PM,6,5
S-03,S-05,SKILLED,Sep 18 26,10:00 PM,6,7
S-07,S-05,SKILLED,Sep 18 26,10:45 PM,6,3
A-16,A-12,ADVANCED,Sep 18 26,7:00 PM,7,14
A-12,A-14,ADVANCED,Sep 18 26,7:45 PM,7,16
A-16,A-14,ADVANCED,Sep 18 26,8:30 PM,7,12
A-07,A-03,ADVANCED,Sep 18 26,9:15 PM,7,5
